====================================================================================================
ДАННЫЕ СОБСТВЕННЫХ МОД
====================================================================================================

    Поле (Э)     Mode1_Re     Mode1_Im     Mode2_Re     Mode2_Im      Rec+_Re      Rec+_Im      Rec-_Re      Rec-_Im
----------------------------------------------------------------------------------------------------
     2850.00     3.384504    -0.054295     3.703451    -0.074596     3.375380    -0.063984     3.704948    -0.047193
     2855.00     3.385082    -0.060122     3.704399    -0.007374     3.388020    -0.063041     3.704960    -0.048136
     2856.00     3.387312    -0.070339     3.703980    -0.006465     3.390548    -0.062843     3.704963    -0.048334
     2857.50     3.390362    -0.070620     3.703669    -0.003963     3.394339    -0.062541     3.704968    -0.048636
     2858.50     3.392661    -0.058223     3.703773    -0.004878     3.396867    -0.062335     3.704971    -0.048842
     2860.50     3.398205    -0.056763     3.703939    -0.004775     3.401921    -0.061913     3.704978    -0.049265
     2861.00     3.398798    -0.056609     3.703772    -0.004453     3.403184    -0.061805     3.704980    -0.049372
     2862.50     3.402621    -0.061044     3.703791    -0.003411     3.406974    -0.061476     3.704986    -0.049701
     2867.50     3.414566    -0.059569     3.703606    -0.005519     3.419602    -0.060317     3.705011    -0.050860
     2868.00     3.416052    -0.059277     3.703517    -0.005231     3.420864    -0.060196     3.705014    -0.050981
     2870.00     3.420618    -0.057453     3.703408    -0.003384     3.425912    -0.059699     3.705027    -0.051479
     2870.50     3.422291    -0.056657     3.703532    -0.004422     3.427174    -0.059572     3.705031    -0.051606
     2871.00     3.422945    -0.057896     3.703523    -0.003806     3.428436    -0.059443     3.705034    -0.051734
     2872.50     3.426838    -0.055982     3.703599    -0.004281     3.432220    -0.059051     3.705046    -0.052126
     2874.00     3.430867    -0.053276     3.703688    -0.004411     3.436004    -0.058648     3.705059    -0.052529
     2874.50     3.431656    -0.053605     3.703621    -0.005103     3.437264    -0.058512     3.705063    -0.052666
     2876.00     3.435782    -0.053730     3.704353    -0.007118     3.441046    -0.058093     3.705078    -0.053084
