====================================================================================================
ДАННЫЕ СОБСТВЕННЫХ МОД
====================================================================================================

    Поле (Э)     Mode1_Re     Mode1_Im     Mode2_Re     Mode2_Im      Rec+_Re      Rec+_Im      Rec-_Re      Rec-_Im
----------------------------------------------------------------------------------------------------
     1520.00     6.333371     0.004349     6.461170     0.007610     6.459104    -0.003858     4.969470  -791.818091
     1530.00     6.336338     0.004359     6.461188     0.007643     6.459104    -0.003858     4.997470  -791.818091
     1540.00     6.339396     0.004373     6.461242     0.007657     6.459104    -0.003858     5.025470  -791.818091
     1550.00     6.342231     0.004424     6.461260     0.007706     6.459104    -0.003858     5.053470  -791.818091
     1560.00     6.345137     0.004462     6.461279     0.007719     6.459104    -0.003858     5.081470  -791.818091
     1570.00     6.348022     0.004503     6.461327     0.007742     6.459104    -0.003858     5.109470  -791.818091
     1580.00     6.350945     0.004571     6.461408     0.007742     6.459104    -0.003858     5.137470  -791.818091
     1590.00     6.354099     0.004577     6.461467     0.007742     6.459104    -0.003858     5.165470  -791.818091
     1600.00     6.356898     0.004603     6.461506     0.007744     6.459104    -0.003858     5.193470  -791.818091
     1610.00     6.359768     0.004634     6.461549     0.007818     6.459104    -0.003858     5.221470  -791.818091
     1620.00     6.362769     0.004684     6.461549     0.007849     6.459104    -0.003858     5.249470  -791.818091
     1630.00     6.365625     0.004763     6.461549     0.007849     6.459104    -0.003858     5.277469  -791.818091
     1640.00     6.368646     0.004792     6.461549     0.007849     6.459104    -0.003858     5.305469  -791.818091
     1650.00     6.371443     0.004863     6.461696     0.007849     6.459104    -0.003858     5.333469  -791.818091
     1660.00     6.374344     0.004888     6.461696     0.007407     6.459104    -0.003858     5.361469  -791.818091
     1670.00     6.377252     0.004942     6.461881     0.007258     6.459104    -0.003858     5.389469  -791.818091
     1680.00     6.380078     0.004972     6.461995     0.007047     6.459104    -0.003858     5.417469  -791.818091
     1690.00     6.382927     0.004976     6.462023     0.005818     6.459104    -0.003858     5.445469  -791.818091
     1700.00     6.385868     0.005000     6.462023     0.005818     6.459104    -0.003858     5.473469  -791.818091
     1710.00     6.388734     0.005000     6.461881     0.005564     6.459104    -0.003858     5.501469  -791.818091
     1720.00     6.391485     0.005000     6.460816     0.005344     6.459104    -0.003858     5.529469  -791.818091
     1730.00     6.394323     0.005000     6.461016     0.004996     6.459104    -0.003858     5.557469  -791.818091
     1740.00     6.397177     0.004976     6.461814     0.004996     6.459104    -0.003858     5.585469  -791.818091
     1750.00     6.399898     0.004971     6.461881     0.004996     6.459104    -0.003858     5.613469  -791.818091
     1760.00     6.402644     0.004942     6.462575     0.004996     6.459104    -0.003858     5.641469  -791.818091
     1770.00     6.405333     0.004928     6.462575     0.004996     6.459104    -0.003858     5.669469  -791.818091
     1780.00     6.408176     0.004856     6.462575     0.005598     6.459104    -0.003858     5.697469  -791.818091
     1790.00     6.410759     0.004774     6.462575     0.005598     6.459104    -0.003858     5.725469  -791.818091
     1800.00     6.413421     0.004660     6.462575     0.005598     6.459104    -0.003858     5.753469  -791.818091
     1810.00     6.416026     0.004531     6.463213     0.005464     6.459104    -0.003858     5.781469  -791.818091
     1820.00     6.418679     0.004396     6.463847     0.005464     6.459104    -0.003858     5.809469  -791.818091
     1830.00     6.421172     0.004396     6.464533     0.005598     6.459104    -0.003858     5.837469  -791.818091
     1840.00     6.423706     0.004396     6.465698     0.005684     6.459104    -0.003858     5.865469  -791.818091
     1850.00     6.426212     0.004396     6.466213     0.005684     6.459104    -0.003858     5.893469  -791.818091
     1860.00     6.428668     0.004396     6.467284     0.005684     6.459104    -0.003858     5.921469  -791.818091
     1870.00     6.431021     0.004396     6.468380     0.005598     6.459104    -0.003858     5.949469  -791.818091
     1880.00     6.433225     0.004439     6.469177     0.005464     6.459104    -0.003858     5.977469  -791.818091
     1890.00     6.435196     0.004788     6.469750     0.005383     6.459104    -0.003858     6.005469  -791.818091
     1900.00     6.437195     0.004788     6.470618     0.005306     6.459104    -0.003858     6.033469  -791.818091
     1910.00     6.438745     0.005167     6.470730     0.005306     6.459104    -0.003858     6.061469  -791.818091
     1920.00     6.440265     0.005174     6.471925     0.005306     6.459104    -0.003858     6.089469  -791.818091
     1930.00     6.441633     0.005376     6.473680     0.004988     6.459104    -0.003858     6.117469  -791.818091
     1940.00     6.442931     0.005405     6.475511     0.004913     6.459104    -0.003858     6.145469  -791.818091
     1950.00     6.445372     0.005416     6.477395     0.004882     6.459104    -0.003858     6.173469  -791.818091
     1960.00     6.445748     0.005551     6.479311     0.004823     6.459104    -0.003858     6.201469  -791.818091
     1970.00     6.447396     0.005567     6.481352     0.004817     6.459104    -0.003858     6.229469  -791.818091
     1980.00     6.447783     0.005487     6.483451     0.004776     6.459104    -0.003858     6.257469  -791.818091
     1990.00     6.448606     0.005416     6.485679     0.004758     6.459104    -0.003858     6.285469  -791.818091
     2000.00     6.449394     0.005487     6.487977     0.004600     6.459104    -0.003858     6.313469  -791.818091
     2010.00     6.449394     0.005487     6.490264     0.004479     6.459104    -0.003858     6.341469  -791.818091
     2020.00     6.450114     0.005567     6.492769     0.004364     6.459104    -0.003858     6.369469  -791.818091
     2030.00     6.451095     0.005584     6.495233     0.004155     6.459104    -0.003858     6.397469  -791.818091
     2040.00     6.451483     0.005630     6.497626     0.004008     6.459104    -0.003858     6.425469  -791.818091
     2050.00     6.451771     0.005630     6.500114     0.003974     6.459104    -0.003858     6.453469  -791.818091
     2060.00     6.451892     0.005616     6.502766     0.003844     6.481469  -791.818091     6.459104    -0.003858
     2070.00     6.452326     0.005616     6.505270     0.003709     6.509469  -791.818091     6.459104    -0.003858
     2080.00     6.452369     0.005759     6.507931     0.003646     6.537469  -791.818091     6.459104    -0.003858
     2090.00     6.452426     0.005800     6.510501     0.003576     6.565469  -791.818091     6.459104    -0.003858
     2100.00     6.452426     0.005937     6.513191     0.003547     6.593469  -791.818091     6.459104    -0.003858
     2110.00     6.452834     0.005937     6.515623     0.003460     6.621469  -791.818091     6.459104    -0.003858
     2120.00     6.453259     0.005949     6.518332     0.003436     6.649469  -791.818091     6.459104    -0.003858
     2130.00     6.453541     0.005940     6.520905     0.003430     6.677469  -791.818091     6.459104    -0.003858
     2140.00     6.453743     0.005937     6.523495     0.003426     6.705469  -791.818091     6.459104    -0.003858
     2150.00     6.453994     0.005940     6.526114     0.003402     6.733469  -791.818091     6.459104    -0.003858
     2160.00     6.454215     0.005940     6.528750     0.003402     6.761469  -791.818091     6.459104    -0.003858
     2170.00     6.454432     0.005944     6.531557     0.003380     6.789469  -791.818091     6.459104    -0.003858
     2180.00     6.454514     0.005949     6.534237     0.003380     6.817469  -791.818091     6.459104    -0.003858
     2190.00     6.454786     0.005970     6.536900     0.003380     6.845469  -791.818091     6.459104    -0.003858
     2200.00     6.454964     0.005970     6.539482     0.003380     6.873469  -791.818091     6.459104    -0.003858
     2210.00     6.455127     0.005983     6.542098     0.003380     6.901469  -791.818091     6.459104    -0.003858
     2220.00     6.455323     0.005970     6.544635     0.003401     6.929469  -791.818091     6.459104    -0.003858
     2230.00     6.455323     0.005970     6.547128     0.003406     6.957469  -791.818091     6.459104    -0.003858
     2240.00     6.455439     0.005970     6.549729     0.003429     6.985469  -791.818091     6.459104    -0.003858
     2250.00     6.455490     0.005970     6.552480     0.003450     7.013469  -791.818091     6.459104    -0.003858
     2260.00     6.455490     0.005944     6.552480     0.003450     7.041469  -791.818091     6.459104    -0.003858
     2270.00     6.455490     0.005944     6.552480     0.003450     7.069469  -791.818091     6.459104    -0.003858
