====================================================================================================
ДАННЫЕ СОБСТВЕННЫХ МОД
====================================================================================================

    Поле (Э)     Mode1_Re     Mode1_Im     Mode2_Re     Mode2_Im      Rec+_Re      Rec+_Im      Rec-_Re      Rec-_Im
     2887.50     3.464824     0.000998     3.670456     0.057180     3.631572    -0.096615     3.514392    -0.387059
     2888.00     3.466393     0.001001     3.670456     0.057239     3.631339    -0.096565     3.516025    -0.387109
     2888.50     3.467267     0.001007     3.670393     0.057390     3.631105    -0.096513     3.517659    -0.387161
     2889.00     3.468828     0.001010     3.670393     0.057585     3.630871    -0.096458     3.519293    -0.387216
     2889.50     3.470374     0.001014     3.670232     0.057603     3.630636    -0.096401     3.520927    -0.387273
     2890.00     3.471092     0.001014     3.670218     0.057906     3.630402    -0.096341     3.522562    -0.387333
     2890.50     3.472764     0.001021     3.670218     0.057958     3.630167    -0.096279     3.524196    -0.387395
     2891.00     3.473481     0.001032     3.670218     0.057983     3.629932    -0.096214     3.525831    -0.387460
     2891.50     3.475074     0.001035     3.670186     0.057987     3.629697    -0.096146     3.527466    -0.387528
     2892.00     3.475859     0.001038     3.670151     0.058080     3.629463    -0.096076     3.529101    -0.387598
     2892.50     3.477429     0.001042     3.670100     0.058112     3.629228    -0.096004     3.530736    -0.387671
     2893.00     3.478322     0.001044     3.670100     0.058159     3.628993    -0.095928     3.532371    -0.387746
     2893.50     3.479900     0.001047     3.670142     0.058171     3.628758    -0.095850     3.534005    -0.387824
     2894.00     3.481440     0.001049     3.670142     0.058208     3.628524    -0.095770     3.535640    -0.387904
     2894.50     3.482402     0.001059     3.670142     0.058208     3.628289    -0.095687     3.537274    -0.387988
     2895.00     3.483786     0.001060     3.670142     0.058208     3.628055    -0.095601     3.538908    -0.388073
     2895.50     3.484494     0.001063     3.670142     0.058208     3.627821    -0.095512     3.540542    -0.388162
     2896.00     3.486119     0.001073     3.670142     0.058208     3.627588    -0.095421     3.542176    -0.388253
     2896.50     3.486790     0.001079     3.670142     0.058208     3.627355    -0.095327     3.543809    -0.388347
     2897.00     3.488305     0.001089     3.670247     0.058090     3.627122    -0.095231     3.545441    -0.388443
     2897.50     3.489147     0.001107     3.670293     0.058069     3.626890    -0.095132     3.547073    -0.388543
     2898.00     3.490607     0.001113     3.670325     0.057960     3.626659    -0.095030     3.548705    -0.388644
     2898.50     3.492130     0.001120     3.670624     0.057510     3.626428    -0.094925     3.550336    -0.388749
     2899.00     3.492941     0.001136     3.672151     0.055323     3.626198    -0.094818     3.551966    -0.388856
     2899.50     3.494651     0.001143     3.672592     0.054739     3.625968    -0.094708     3.553595    -0.388966
     2900.00     3.495343     0.001145     3.672662     0.054662     3.625739    -0.094596     3.555224    -0.389078
     2900.50     3.496898     0.001170     3.672845     0.054540     3.625511    -0.094481     3.556852    -0.389193
     2901.00     3.497620     0.001173     3.672958     0.054540     3.625284    -0.094363     3.558479    -0.389311
     2901.50     3.499339     0.001194     3.672958     0.054540     3.625058    -0.094243     3.560106    -0.389431
     2902.00     3.500090     0.001211     3.672958     0.054540     3.624833    -0.094120     3.561731    -0.389554
     2902.50     3.501604     0.001211     3.673003     0.054540     3.624608    -0.093995     3.563355    -0.389679
     2903.00     3.503098     0.001243     3.673077     0.054540     3.624385    -0.093867     3.564978    -0.389808
     2903.50     3.503859     0.001245     3.673097     0.054647     3.624163    -0.093736     3.566601    -0.389938
     2904.00     3.505451     0.001264     3.673097     0.054745     3.623942    -0.093603     3.568222    -0.390071
     2904.50     3.506254     0.001285     3.673107     0.054745     3.623722    -0.093467     3.569841    -0.390207
     2905.00     3.507865     0.001297     3.673107     0.054802     3.623504    -0.093329     3.571460    -0.390345
     2905.50     3.508633     0.001299     3.673107     0.054927     3.623286    -0.093189     3.573077    -0.390485
     2906.00     3.510108     0.001320     3.673107     0.054965     3.623071    -0.093046     3.574693    -0.390628
     2906.50     3.510844     0.001338     3.673107     0.054975     3.622856    -0.092900     3.576308    -0.390774
     2907.00     3.512582     0.001341     3.673175     0.054997     3.622643    -0.092752     3.577921    -0.390922
     2907.50     3.514124     0.001356     3.673237     0.055001     3.622431    -0.092602     3.579532    -0.391072
     2908.00     3.514888     0.001376     3.673301     0.055118     3.622221    -0.092450     3.581142    -0.391224
     2908.50     3.516408     0.001378     3.673321     0.055217     3.622013    -0.092295     3.582751    -0.391379
     2909.00     3.517478     0.001382     3.673341     0.055259     3.621806    -0.092138     3.584358    -0.391536
     2909.50     3.518885     0.001398     3.673349     0.055321     3.621600    -0.091978     3.585963    -0.391696
     2910.00     3.519682     0.001410     3.673349     0.055441     3.621397    -0.091817     3.587567    -0.391857
     2910.50     3.521260     0.001418     3.673389     0.055465     3.621195    -0.091653     3.589169    -0.392021
     2911.00     3.522112     0.001427     3.673404     0.055640     3.620994    -0.091487     3.590769    -0.392187
     2911.50     3.523582     0.001436     3.673404     0.055660     3.620796    -0.091319     3.592368    -0.392355
     2912.00     3.525348     0.001451     3.673404     0.055731     3.620599    -0.091149     3.593964    -0.392525
     2912.50     3.525987     0.001453     3.673404     0.055763     3.620405    -0.090977     3.595559    -0.392697
     2913.00     3.527645     0.001461     3.673389     0.055949     3.620212    -0.090803     3.597152    -0.392872
     2913.50     3.528384     0.001468     3.673404     0.056197     3.620021    -0.090626     3.598743    -0.393048
     2914.00     3.529903     0.001474     3.673404     0.056576     3.619832    -0.090448     3.600332    -0.393226
     2914.50     3.530694     0.001474     3.673437     0.056687     3.619645    -0.090268     3.601919    -0.393406
     2915.00     3.532309     0.001475     3.673437     0.056687     3.619460    -0.090087     3.603504    -0.393588
     2915.50     3.533163     0.001476     3.673437     0.056690     3.619277    -0.089903     3.605087    -0.393771
